date,btc_close,eth_close,sp500_close,dxy_close,gold_close,active_addresses,interest_rate,bitcoin,fear_greed,btc_logret,btc_rsi14
2020-07-31,,,,,,717842.0,0.05,99.0,75.0,,
2020-08-01,,,,,,717842.0,0.05,99.0,75.0,,
2020-08-02,,,,,,616214.0,0.05,99.0,80.0,,
2020-08-03,,,,,,616214.0,0.05,99.0,75.0,,
2020-08-04,,,,,,616214.0,0.05,99.0,72.0,,
2020-08-05,,,,,,616214.0,0.05,99.0,75.0,,
2020-08-06,,,,,,762479.0,0.05,99.0,79.0,,
2020-08-07,,,,,,762479.0,0.05,99.0,77.0,,
2020-08-08,,,,,,762479.0,0.05,99.0,77.0,,
2020-08-09,,,,,,762479.0,0.05,99.0,79.0,,
2020-08-10,,,,,,683507.0,0.05,99.0,78.0,,
2020-08-11,,,,,,683507.0,0.05,99.0,84.0,,
2020-08-12,,,,,,683507.0,0.05,99.0,75.0,,
2020-08-13,,,,,,683507.0,0.05,99.0,75.0,,
2020-08-14,,,,,,755913.0,0.05,99.0,78.0,,
2020-08-15,,,,,,755913.0,0.05,99.0,79.0,,
2020-08-16,,,,,,755913.0,0.05,99.0,82.0,,
2020-08-17,,,,,,755913.0,0.05,99.0,83.0,,
2020-08-18,,,,,,739835.0,0.05,99.0,82.0,,
2020-08-19,,,,,,739835.0,0.05,99.0,80.0,,
2020-08-20,,,,,,739835.0,0.05,99.0,75.0,,
2020-08-21,,,,,,739835.0,0.05,99.0,81.0,,
2020-08-22,,,,,,649053.0,0.05,99.0,78.0,,
2020-08-23,,,,,,649053.0,0.05,99.0,76.0,,
2020-08-24,,,,,,649053.0,0.05,99.0,78.0,,
2020-08-25,,,,,,649053.0,0.05,99.0,75.0,,
2020-08-26,,,,,,696908.0,0.05,99.0,76.0,,
2020-08-27,,,,,,696908.0,0.05,99.0,75.0,,
2020-08-28,,,,,,696908.0,0.05,99.0,74.0,,
2020-08-29,,,,,,696908.0,0.05,99.0,79.0,,
2020-08-30,,,,,,555079.0,0.05,99.0,75.0,,
2020-08-31,,,,,,555079.0,0.05,99.0,75.0,,
2020-09-01,,,,,,555079.0,0.05,99.0,75.0,,
2020-09-02,,,,,,555079.0,0.05,99.0,83.0,,
2020-09-03,,,,,,691592.0,0.05,99.0,79.0,,
2020-09-04,,,,,,691592.0,0.05,99.0,40.0,,
2020-09-05,,,,,,691592.0,0.05,99.0,41.0,,
2020-09-06,,,,,,691592.0,0.05,99.0,41.0,,
2020-09-07,,,,,,672721.0,0.05,99.0,41.0,,
2020-09-08,,,,,,672721.0,0.05,99.0,41.0,,
2020-09-09,,,,,,672721.0,0.05,99.0,38.0,,
2020-09-10,,,,,,672721.0,0.05,99.0,38.0,,
2020-09-11,,,,,,677215.0,0.05,99.0,41.0,,
2020-09-12,,,,,,677215.0,0.05,99.0,41.0,,
2020-09-13,,,,,,677215.0,0.05,99.0,38.0,,
2020-09-14,,,,,,677215.0,0.05,99.0,39.0,,
2020-09-15,,,,,,718787.0,0.05,99.0,47.0,,
2020-09-16,,,,,,718787.0,0.05,99.0,43.0,,
2020-09-17,,,,,,718787.0,0.05,99.0,48.0,,
2020-09-18,,,,,,718787.0,0.05,99.0,49.0,,
2020-09-19,,,,,,624125.0,0.05,99.0,48.0,,
2020-09-20,,,,,,624125.0,0.05,99.0,52.0,,
2020-09-21,,,,,,624125.0,0.05,99.0,48.0,,
2020-09-22,,,,,,624125.0,0.05,99.0,39.0,,
2020-09-23,,,,,,733591.0,0.05,99.0,43.0,,
2020-09-24,,,,,,733591.0,0.05,99.0,39.0,,
2020-09-25,,,,,,733591.0,0.05,99.0,46.0,,
2020-09-26,,,,,,733591.0,0.05,99.0,45.0,,
2020-09-27,,,,,,538619.0,0.05,99.0,47.0,,
2020-09-28,,,,,,538619.0,0.05,99.0,43.0,,
2020-09-29,,,,,,538619.0,0.05,99.0,45.0,,
2020-09-30,,,,,,538619.0,0.05,99.0,49.0,,
2020-10-01,,,,,,679937.0,0.05,99.0,45.0,,
2020-10-02,,,,,,679937.0,0.05,99.0,41.0,,
2020-10-03,,,,,,679937.0,0.05,99.0,40.0,,
2020-10-04,,,,,,679937.0,0.05,99.0,42.0,,
2020-10-05,,,,,,635097.0,0.05,99.0,42.0,,
2020-10-06,,,,,,635097.0,0.05,99.0,47.0,,
2020-10-07,,,,,,635097.0,0.05,99.0,43.0,,
2020-10-08,,,,,,635097.0,0.05,99.0,46.0,,
2020-10-09,,,,,,714645.0,0.05,99.0,48.0,,
2020-10-10,,,,,,714645.0,0.05,99.0,53.0,,
2020-10-11,,,,,,714645.0,0.05,99.0,55.0,,
2020-10-12,,,,,,714645.0,0.05,99.0,52.0,,
2020-10-13,,,,,,732250.0,0.05,99.0,56.0,,
2020-10-14,,,,,,732250.0,0.05,99.0,53.0,,
2020-10-15,,,,,,732250.0,0.05,99.0,56.0,,
2020-10-16,,,,,,732250.0,0.05,99.0,52.0,,
2020-10-17,,,,,,586741.0,0.05,99.0,56.0,,
2020-10-18,,,,,,586741.0,0.05,16.0,55.0,,
2020-10-19,,,,,,586741.0,0.05,16.0,55.0,,
2020-10-20,,,,,,586741.0,0.05,16.0,56.0,,
2020-10-21,,,,,,687152.0,0.05,16.0,61.0,,
2020-10-22,,,,,,687152.0,0.05,16.0,73.0,,
2020-10-23,,,,,,687152.0,0.05,16.0,74.0,,
2020-10-24,,,,,,687152.0,0.05,16.0,73.0,,
2020-10-25,,,,,,547380.0,0.05,16.0,76.0,,
2020-10-26,,,,,,547380.0,0.05,16.0,75.0,,
2020-10-27,,,,,,547380.0,0.05,16.0,61.0,,
2020-10-28,,,,,,547380.0,0.05,16.0,70.0,,
2020-10-29,,,,,,652778.0,0.05,16.0,67.0,,
2020-10-30,,,,,,652778.0,0.05,16.0,74.0,,
2020-10-31,,,,,,652778.0,0.05,16.0,73.0,,
2020-11-01,,,,,,652778.0,0.05,16.0,72.0,,
2020-11-02,,,,,,543348.0,0.05,16.0,71.0,,
2020-11-03,,,,,,543348.0,0.05,16.0,71.0,,
2020-11-04,,,,,,543348.0,0.05,16.0,74.0,,
2020-11-05,,,,,,543348.0,0.05,16.0,72.0,,
2020-11-06,,,,,,756129.0,0.05,16.0,90.0,,
2020-11-07,,,,,,756129.0,0.05,16.0,88.0,,
2020-11-08,,,,,,756129.0,0.05,16.0,82.0,,
2020-11-09,,,,,,756129.0,0.05,16.0,90.0,,
2020-11-10,,,,,,684892.0,0.05,16.0,90.0,,
2020-11-11,,,,,,684892.0,0.05,16.0,86.0,,
2020-11-12,,,,,,684892.0,0.05,16.0,87.0,,
2020-11-13,,,,,,684892.0,0.05,16.0,89.0,,
2020-11-14,,,,,,613373.0,0.05,16.0,90.0,,
2020-11-15,,,,,,613373.0,0.05,16.0,86.0,,
2020-11-16,,,,,,613373.0,0.05,16.0,90.0,,
2020-11-17,,,,,,613373.0,0.05,16.0,86.0,,
2020-11-18,,,,,,807705.0,0.05,16.0,91.0,,
2020-11-19,,,,,,807705.0,0.05,16.0,94.0,,
2020-11-20,,,,,,807705.0,0.05,16.0,86.0,,
2020-11-21,,,,,,807705.0,0.05,16.0,91.0,,
2020-11-22,,,,,,587237.0,0.05,16.0,94.0,,
2020-11-23,,,,,,587237.0,0.05,16.0,90.0,,
2020-11-24,,,,,,587237.0,0.05,16.0,88.0,,
2020-11-25,,,,,,587237.0,0.05,16.0,94.0,,
2020-11-26,,,,,,736612.0,0.05,16.0,93.0,,
2020-11-27,,,,,,736612.0,0.05,16.0,86.0,,
2020-11-28,,,,,,736612.0,0.05,16.0,87.0,,
2020-11-29,,,,,,736612.0,0.05,16.0,89.0,,
2020-11-30,,,,,,623554.0,0.05,16.0,88.0,,
2020-12-01,,,,,,623554.0,0.05,16.0,95.0,,
2020-12-02,,,,,,623554.0,0.05,16.0,92.0,,
2020-12-03,,,,,,623554.0,0.05,16.0,92.0,,
2020-12-04,,,,,,729984.0,0.05,16.0,92.0,,
2020-12-05,,,,,,729984.0,0.05,16.0,93.0,,
2020-12-06,,,,,,729984.0,0.05,16.0,95.0,,
2020-12-07,,,,,,729984.0,0.05,16.0,94.0,,
2020-12-08,,,,,,737193.0,0.05,16.0,95.0,,
2020-12-09,,,,,,737193.0,0.05,16.0,86.0,,
2020-12-10,,,,,,737193.0,0.05,16.0,94.0,,
2020-12-11,,,,,,737193.0,0.05,16.0,89.0,,
2020-12-12,,,,,,654893.0,0.05,16.0,90.0,,
2020-12-13,,,,,,654893.0,0.05,16.0,91.0,,
2020-12-14,,,,,,654893.0,0.05,16.0,95.0,,
2020-12-15,,,,,,654893.0,0.05,16.0,91.0,,
2020-12-16,,,,,,751162.0,0.05,16.0,92.0,,
2020-12-17,,,,,,751162.0,0.05,16.0,92.0,,
2020-12-18,,,,,,751162.0,0.05,16.0,95.0,,
2020-12-19,,,,,,751162.0,0.05,16.0,93.0,,
2020-12-20,,,,,,638816.0,0.05,16.0,92.0,,
2020-12-21,,,,,,638816.0,0.05,16.0,92.0,,
2020-12-22,,,,,,638816.0,0.05,16.0,88.0,,
2020-12-23,,,,,,638816.0,0.05,16.0,93.0,,
2020-12-24,,,,,,639280.0,0.05,16.0,86.0,,
2020-12-25,,,,,,639280.0,0.05,16.0,94.0,,
2020-12-26,,,,,,639280.0,0.05,16.0,93.0,,
2020-12-27,,,,,,639280.0,0.05,16.0,91.0,,
2020-12-28,,,,,,717073.0,0.05,16.0,92.0,,
2020-12-29,,,,,,717073.0,0.05,16.0,91.0,,
2020-12-30,,,,,,717073.0,0.05,16.0,91.0,,
2020-12-31,,,,,,717073.0,0.05,16.0,95.0,,
2021-01-01,,,,,,609741.0,0.05,16.0,94.0,,
2021-01-02,,,,,,609741.0,0.05,16.0,94.0,,
2021-01-03,,,,,,609741.0,0.05,16.0,93.0,,
2021-01-04,,,,,,609741.0,0.05,16.0,94.0,,
2021-01-05,,,,,,845343.0,0.05,16.0,93.0,,
2021-01-06,,,,,,845343.0,0.05,16.0,95.0,,
2021-01-07,,,,,,845343.0,0.05,16.0,91.0,,
2021-01-08,,,,,,845343.0,0.05,16.0,93.0,,
2021-01-09,,,,,,760179.0,0.05,16.0,93.0,,
2021-01-10,,,,,,760179.0,0.05,16.0,94.0,,
2021-01-11,,,,,,760179.0,0.05,16.0,90.0,,
2021-01-12,,,,,,760179.0,0.05,16.0,84.0,,
2021-01-13,,,,,,772596.0,0.05,16.0,78.0,,
2021-01-14,,,,,,772596.0,0.05,16.0,83.0,,
2021-01-15,,,,,,772596.0,0.05,16.0,88.0,,
2021-01-16,,,,,,772596.0,0.05,16.0,84.0,,
2021-01-17,,,,,,642730.0,0.05,16.0,79.0,,
2021-01-18,,,,,,642730.0,0.05,16.0,79.0,,
2021-01-19,,,,,,642730.0,0.05,16.0,80.0,,
2021-01-20,,,,,,642730.0,0.05,16.0,78.0,,
2021-01-21,,,,,,736588.0,0.05,16.0,75.0,,
2021-01-22,,,,,,736588.0,0.05,16.0,40.0,,
2021-01-23,,,,,,736588.0,0.05,16.0,74.0,,
2021-01-24,,,,,,736588.0,0.05,16.0,70.0,,
2021-01-25,,,,,,732867.0,0.05,16.0,74.0,,
2021-01-26,,,,,,732867.0,0.05,16.0,71.0,,
2021-01-27,,,,,,732867.0,0.05,16.0,78.0,,
2021-01-28,,,,,,732867.0,0.05,16.0,55.0,,
2021-01-29,,,,,,888960.0,0.05,16.0,77.0,,
2021-01-30,,,,,,888960.0,0.05,16.0,76.0,,
2021-01-31,,,,,,888960.0,0.05,16.0,78.0,,
2021-02-01,,,,,,888960.0,0.05,16.0,77.0,,
2021-02-02,,,,,,865515.0,0.05,16.0,76.0,,
2021-02-03,,,,,,865515.0,0.05,16.0,78.0,,
2021-02-04,,,,,,865515.0,0.05,16.0,80.0,,
2021-02-05,,,,,,865515.0,0.05,16.0,81.0,,
2021-02-06,,,,,,795079.0,0.05,16.0,84.0,,
2021-02-07,,,,,,795079.0,0.05,16.0,86.0,,
2021-02-08,,,,,,795079.0,0.05,16.0,83.0,,
2021-02-09,,,,,,795079.0,0.05,16.0,95.0,,
2021-02-10,,,,,,861426.0,0.05,16.0,92.0,,
2021-02-11,,,,,,861426.0,0.05,16.0,93.0,,
2021-02-12,,,,,,861426.0,0.05,16.0,92.0,,
2021-02-13,,,,,,861426.0,0.05,16.0,92.0,,
2021-02-14,,,,,,698818.0,0.05,16.0,95.0,,
2021-02-15,,,,,,698818.0,0.05,16.0,93.0,,
